Day,Month,Year,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_40,F_41,F_42,F_43,F_44,F_45,F_46,F_47,F_48,F_49,F_50,F_51,F_52,F_53,F_54,F_55,F_56,F_57,F_58,F_59,F_60,F_61,F_62,F_63,F_64,F_65,F_66,F_67,F_68,F_69,F_70,F_71,F_72,F_73,F_74,F_75,F_76,F_77,F_78,F_79,F_80,F_81,F_82,F_83,F_84,F_85,F_86,F_87,F_88,F_89,F_90,F_91,F_92,F_93,F_94,F_95,F_96,F_97,F_98,F_99,F_100
4,Sep,2013,8331.11,11.14,443.73,14.6,35.15,39.4,2787633.21,321368.91,35372.42,5.6615,46268.69,679.76,3238.65,41125.11,4225.75,896.97,29160.26,7.516,11.09,5081.56,0.6658,105161.7,3370.55,2091.9,62443.91,16787.55,589124.76,0.9953,12.18,185,36112.33,8975.73,38287.87,3421.39,283.63,2.9442,164.79,5.771,35.96,375536.95,12148.75,151.25,683.97,297.95,4592.03,42.86,1835.36,117.76,13.15,314205.23,0.9014,10.16,21389.97,2.6784,129813.29,4.8323,69185.47,3447.34,1755114.61,7383.25,141.94,1972005.98,1787.35,8047.96,299451.04,230948.07,12217.32,295204.74,2600.49,3.3832,1028290.11,52.02,1766.81,4959.85,2666.39,1406610.74,40593.95,479.74,1.0216,22.6,208536.67,1120.61,633601.63,18439.95,1164,557.53,12.74,8327.98,720.9,41775.94,3636.02,1148762.64,9619.99,202.49,592.73,118.22,447.25,11.8,78.12,3.0344
5,Sep,2013,8285.44,11.05,446.56,14.29,35.26,39.3,2794298.56,324838.61,35875.56,5.6275,44707.19,684.34,3243.01,41406.42,4180.38,888.8,29576.06,7.5137,11.15,5129.31,0.6378,103443.82,3392.92,2079.26,63107.73,16791.87,592891.61,0.9831,12.15,185.92,34871.2,9034.94,38135.46,3437.71,285.04,2.9771,164.54,5.7444,35.63,376444.28,11774.08,151.4,669.43,298.96,4569.38,42.17,1882.46,118.39,13.03,317662.21,0.8707,9.9084,21573.45,2.6203,129586.28,4.9188,70468.18,3493.51,1756110.76,7434.22,144.01,1953481.58,1738.19,8001.57,297878.71,233631.68,12078.3,296077.97,2582.21,3.3789,1031516.92,52.51,1728.13,4920.17,2653.08,1391558.79,40433.13,483.92,1.0137,22.74,207607.33,1137.51,634484.61,18384.59,1172.88,559.99,12.57,8185.13,704.47,41743.76,3617.55,1147746.61,9574.63,198.46,591.96,119.1,446.63,11.73,78.13,3.0289
6,Sep,2013,8235.83,11.02,444.35,14.05,35.3,39.03,2801081.97,323217.11,36067.59,5.5892,43284.68,690.21,3245.32,41407.66,4129.18,896.76,29894.58,7.603,11.18,5185.11,0.6254,102509.75,3401.87,2069.16,63574.93,16933.62,600270.17,0.9838,12.17,183.4,34309.83,9184.76,37287.04,3457.72,286.99,3.0079,165.78,5.7269,35.46,376261.01,11457.59,150.43,651.8,295.34,4537.23,41.89,1944.81,115.91,12.97,319283.21,0.8728,9.7768,21836.5,2.5477,129214.98,4.9949,71581.12,3459.66,1766785.46,7474.13,144.1,1965348.66,1737.83,8040.57,297986.42,234051.99,11961.78,299323.47,2557.71,3.3658,1043732.8,52.85,1702.29,4898.02,2630.22,1380782.23,40421.11,478.6,1.0007,22.73,205544.65,1149.89,645027.63,18408.65,1163.1,564.39,12.61,8132.98,683.31,41937.71,3550.65,1142720.3,9558.81,193.4,596.18,120.79,441.9,11.66,78.21,3.0047
7,Sep,2013,8308.99,10.89,443.04,13.73,34.8,38.96,2841966.26,327906.85,35848.9,5.5384,42066.7,686.15,3258.22,41241.65,4114.29,897.55,29656.75,7.5377,11.23,5160.79,0.6168,103022.96,3415.05,2048.82,64308.61,16849.05,602738.13,0.9857,12.04,181.8,33649.93,9237.89,36922.28,3458.86,289.22,2.9696,165.36,5.7346,35.76,381272.86,11326.31,149.78,647.55,297.44,4559.75,41.98,1954.52,115.49,12.96,318323.35,0.8596,9.7173,21938.03,2.5251,131391.08,4.9685,71956.66,3423.94,1772238.76,7389.64,145.13,1981344.99,1725.28,8043.36,296603.97,233090.1,12064.43,298662.44,2539.71,3.3375,1068577.9,52.29,1698.83,4938.48,2613.76,1392425.42,39817.76,479.35,0.9951,22.26,204982.27,1143.63,653926.62,18542.38,1164.95,559.45,12.45,8026.21,670.34,41553.05,3472.73,1149465.18,9573.05,191.47,600.61,120.75,440.35,11.61,78.42,3.0409
8,Sep,2013,8243.84,10.95,442.09,13.48,34.59,38.51,2860325.81,330035.87,36088.96,5.4817,41535.82,692.59,3235.63,41457.99,4063.87,891.9,30024.01,7.5929,11.33,5206,0.6133,100487.32,3409.62,2057.03,64362.87,16804.2,608977.37,0.9849,12.02,182.24,33468.5,9258.87,36706.19,3453.65,285.26,2.9963,163.8,5.7232,35.52,378979.54,11151.75,148.24,641.28,302.48,4506.05,41.76,2013.37,114.83,12.85,319811.3,0.8533,9.6157,22575.77,2.5076,133007.85,4.9974,72693.2,3468.91,1774352.08,7418.93,145.44,1969970.9,1692.97,8056.47,293894,230455.03,11927.88,303569.62,2531.36,3.3293,1088644.35,51.72,1674.68,4866.88,2595.95,1395948.06,39262.47,471.69,0.9809,22.32,204852.72,1154.69,657838.65,18655.7,1172.16,558.98,12.45,7942.85,663.55,42132.29,3408.78,1134316.66,9455.23,187.59,595.33,122.4,436.84,11.62,77.34,3.0296
9,Sep,2013,8228.88,10.86,443.44,13.49,34.77,37.84,2869022.55,329213.33,36420.78,5.4906,42109.14,697.53,3192.94,41490.88,4042.94,889.14,29958.56,7.5697,11.35,5192.66,0.6413,100740.95,3401.58,2031.44,64743.04,16888.33,613196.94,0.9806,11.83,183.32,33633.85,9334.7,36700.04,3458.85,278.77,2.9766,162.4,5.6546,34.97,381566.72,11296.78,146.85,652.45,296.82,4567.74,41.67,2031.19,115.37,12.74,321492.05,0.8592,9.5345,22605.59,2.5066,134284.2,4.7943,73447.44,3475.05,1786875.69,7426.97,144.1,1981562.78,1674.47,8002.32,294895.21,225907.73,11905.96,306477.17,2551.33,3.2715,1094262.75,52.18,1689.07,4876.04,2603.38,1417141.7,38292.97,470.44,0.9797,22.21,204210.98,1163.25,657446.37,18755.41,1173.56,559.72,12.44,7951.13,670.88,42083.59,3353.22,1132764.38,9536.37,189.15,588.05,122.54,434,11.57,76,3.0401
10,Sep,2013,8219.07,10.81,442.57,13.27,35.15,37.43,2919348.71,331732.99,36300.98,5.4163,40752.09,697.37,3149.41,41590.7,4033.44,896.96,29888.44,7.4924,11.27,5259.94,0.6227,100290.89,3395.11,2014.19,64675.51,16821.41,615328.73,0.9869,11.72,183.34,32668.14,9438.69,36272.71,3484.24,279.45,2.9642,161.34,5.623,34.62,383887.14,11092.66,146.56,645.17,294.38,4575.76,41.8,2057.79,114.19,12.67,321743.5,0.8402,9.4648,22450.56,2.4703,135640.33,4.8052,73737.09,3489.93,1800992.75,7474.09,143.57,1992967.62,1667.99,7993.11,296509.82,226682.78,11882.75,310516.16,2549.66,3.2194,1102881.24,51.69,1674.35,4869.04,2602.01,1421416.05,38033.18,472.67,0.9691,21.91,205184.98,1175.06,662091.31,18726.72,1173.28,561.36,12.4,7839.8,662.18,41918.37,3316.11,1129792.96,9691.33,187.61,584.32,122.43,433.81,11.61,75.6,3.0365
11,Sep,2013,8030.96,10.85,438.16,13.19,35.6,36.93,2885129.35,334883.29,36956.16,5.4329,40940.8,713.85,3086.38,41818.88,3968.57,898.72,30681.86,7.6595,11.4,5267.63,0.6198,95472.05,3401.69,2014.42,65104.06,16838.19,620165.55,0.9808,11.76,183.25,32739.58,9671.76,35952.17,3451.41,278.64,2.9959,161.49,5.6667,34.35,384499.11,10998.86,148.08,643.59,295.44,4496.55,41.27,2197.74,113.36,12.42,318652.21,0.8476,9.2481,22950.7,2.4669,136503.87,4.7747,75097.46,3565.25,1807802.24,7615.72,147.56,1980964.36,1651.06,7918.46,295131.87,224199.5,11478.89,317520.14,2520.86,3.1852,1132750.77,51.25,1641.79,4771.2,2548.15,1400878.5,37594.72,466.56,0.951,22.21,202050.72,1199.08,673288.06,18798.09,1151.16,569.59,12.35,7759.25,660.63,42717.92,3283.36,1125912.62,9663.99,179.48,586.29,125.26,432.49,11.54,75.42,2.9871
12,Sep,2013,8023.97,10.71,433.32,13.1,35.68,36.5,2911765.08,337008.77,37302.41,5.4297,40903.07,721.34,3062.42,42305.95,3901.4,895.84,30949.48,7.7244,11.43,5340.23,0.6317,94414.14,3440.25,2018.32,65629.6,17024.63,621328.78,0.9763,11.76,181.75,32609.94,9722.99,35577.05,3475.7,270.85,3.0046,159.68,5.6093,34.25,381869.9,11142.61,149.45,645.08,294.88,4507.97,41.01,2261.75,112.48,12.28,317071.91,0.8606,9.0608,23353.56,2.4781,137092.79,4.6073,76188.4,3643.79,1806663.26,7642.22,149.69,1968691.07,1657.23,7900.11,294591.8,219267.41,11448.78,321423.59,2507.55,3.1276,1146299.9,51.43,1616.74,4663.99,2534.22,1400723.32,36813.02,463.44,0.9383,21.93,201507.71,1219.36,684021.64,18899.95,1157.59,564.75,12.27,7807.66,663.75,42573.95,3238.48,1117557.92,9577.58,175.88,582.14,124.98,430.48,11.48,74.99,2.9869
13,Sep,2013,7994.18,10.66,430.9,12.9,35.51,36.06,2936062.73,337597.82,37973.49,5.3654,39802.17,725.71,3054.24,43026.7,3812.86,903.82,31300.66,7.7214,11.49,5328.19,0.6104,93397.89,3471.17,1993.35,66553.02,16912.55,615409.43,0.9586,11.84,180.28,31709.9,9799.39,35688.07,3457.42,271.14,3.0145,160.46,5.6375,34.17,381809.61,10789.42,150.6,625.19,296.09,4532.12,41.07,2279.58,111.65,12.09,315092.34,0.8477,9.0251,23497.21,2.4387,136736.12,4.6674,76810.38,3672.77,1812051.91,7663.83,149.82,1940153.9,1633.44,7876.78,293469.77,222448.15,11288.36,324868.35,2490.06,3.0923,1150150.84,52.36,1593.6,4651.18,2542.5,1396360.11,35976.56,461.49,0.9396,21.89,203751.68,1228.67,694201.72,18919.05,1155.99,562.49,12.19,7699.47,642.93,42509.55,3178.4,1129766.5,9589.48,172.59,583.03,124.26,425.11,11.39,73.8,2.9928
14,Sep,2013,7710.44,10.63,427.3,12.86,35.95,35.89,2942960.31,340942.43,38812.81,5.3705,39596.85,741.1,3037.93,42521.79,3771.96,894.74,31791.55,7.8244,11.67,5403,0.6071,89393.87,3503,2007.79,67979.64,16932.63,621688.1,0.9589,11.68,177.64,31252.94,10104.99,35244.88,3446.54,267.33,3.1032,164.06,5.6951,33.93,381983.9,10813.57,153.97,614.47,296.89,4507.71,40.52,2407.79,111.94,11.74,309179.4,0.8348,8.8337,24299.69,2.4139,137570.74,4.5977,78296.9,3735.87,1778904.8,7870.32,152.7,1894302.16,1626.92,7727.26,290266.49,220541.26,10895.3,328486.57,2462.95,3.0835,1182428.83,53.46,1548.12,4611.25,2507.64,1360217.15,35474.57,452.56,0.9244,22.08,196460.63,1285.55,719925.03,19016.33,1132.91,566.04,12.03,7681.56,635.1,43252.66,3133.29,1118660.66,9720.25,164.3,582.76,127.42,420.8,11.43,73.49,2.9684
15,Sep,2013,7831.04,10.42,428.25,12.68,36.06,35.61,2954984.38,342902.68,39289.04,5.3605,39115.08,749.34,2997.6,42530.96,3724.96,887.06,31977.14,7.7747,11.66,5454.15,0.6064,91425.91,3473.44,1992.3,68045.42,16916.84,635258.68,0.9615,11.51,175.97,30981.16,10130.32,35576.01,3466.7,266.36,3.0701,161.31,5.6343,33.88,385230.81,10701.75,152.28,605.97,295.16,4537.5,40.17,2389.69,111.99,11.74,308420.44,0.8355,8.7152,24397.68,2.4026,136824.8,4.5565,77822.28,3758.77,1788215.63,7923.23,152.4,1905682.48,1616,7617.59,293279.29,218215.31,11003.88,328582.26,2489,3.0633,1177142.73,53.07,1543.15,4582.91,2489.73,1376459.19,34957.6,452.33,0.9191,21.97,196931.05,1288.3,727093.86,18903.53,1143.51,571.24,11.92,7593.73,631.09,43338.76,3116.3,1126820.57,9768.22,165.5,580.05,126.36,421.75,11.38,72.77,2.9457
16,Sep,2013,8036.66,10.29,420.71,12.45,35.98,35.8,2972440.11,340277.24,39222.46,5.318,38769.21,732.37,2983.57,42321.72,3679.08,892.4,31798.6,7.7168,11.46,5414.86,0.5879,95345.46,3422.34,1989.2,68577.34,16776.54,636779.97,0.9452,11.4,176.4,30286.11,9990.91,36030.42,3460.5,265.25,2.9776,162.18,5.5368,33.53,390989.54,10500.78,150.51,594.37,295.42,4531.12,40.21,2294.24,111.78,11.81,311800.47,0.8162,8.7774,24264.53,2.3899,138500.02,4.5584,77667.1,3731.28,1806723.36,7909,149.92,1943796.39,1598.46,7632.63,295783.42,217440.77,11331.54,328316.9,2527.43,3.0515,1160435.59,52.26,1569.99,4617.67,2506.23,1409397.08,34822.42,456.3,0.927,21.7,198492.33,1264.83,726245.9,18916.56,1138.02,563.91,11.91,7508.67,627.11,42781.22,3081.63,1146873.64,9724.54,168.4,580.07,124.99,422.69,11.32,71.14,2.9648
17,Sep,2013,7676.33,10.34,423.39,12.18,36.56,35.32,2954444.01,347179.23,39270.07,5.2252,37723.9,747.65,2955.15,42245.55,3636.8,889.42,32701.61,7.8971,11.79,5551.28,0.5656,87133.49,3478.89,1994.2,69903.37,17061.5,623717.82,0.937,11.43,176.54,29291.14,10331.56,35484.43,3479.99,263.06,3.1041,164.47,5.6688,33.28,383662.23,10251.39,154.31,585.7,296.92,4469.26,39.33,2501.79,112.04,11.4,309945.57,0.7972,8.6326,25020.63,2.3307,138658.54,4.6607,81017.25,3828.26,1798517.25,8014.66,155.5,1873157.06,1587.41,7607.32,296544.68,220411.92,10706.04,331691.43,2446.75,3.0123,1204930.6,52.53,1491.97,4393.04,2480.5,1369381.22,34826.04,444.36,0.899,21.98,193894.98,1316.86,765426.27,18983.77,1109.54,563.46,11.9,7400.82,607.87,43492.66,3037.6,1127153.49,9708.46,156.47,582.03,132.04,418.99,11.31,70.77,2.9198
18,Sep,2013,7553.04,10.26,426.2,11.99,36.59,35.15,2954513.82,354406.21,39361.39,5.1749,36390.35,755.05,2941.8,42291.34,3549.95,890.73,33276.47,7.9141,11.89,5652.63,0.5489,84014.13,3497.53,1980.58,69846.67,16847.99,624968.85,0.9263,11.51,175.86,28789.89,10411.42,35108.69,3534.79,262.88,3.179,165.97,5.673,33.29,378583.56,9905.62,155.09,575.12,295.86,4458.17,39.53,2599.69,110.17,11.18,310782.29,0.7897,8.4852,25308.41,2.2712,136862.26,4.6904,81894.77,3835.55,1801994.03,8137.08,158.03,1859292.39,1576.38,7556.93,297127.94,221770.86,10431,336573.06,2429.39,3.0119,1228593.63,52.39,1452.54,4336.77,2472.07,1353698.05,34415.04,442.33,0.8846,22.13,193906.86,1335.78,776885.2,19167.27,1101.55,569.06,11.82,7341.9,596.81,43432.31,2998.42,1116678.97,9765.21,153.85,579.13,133.49,412.86,11.33,71.02,2.9099
19,Sep,2013,7586.91,10.17,421.13,11.85,36.54,35.07,2946457.15,355448.24,39661.12,5.1902,36458.02,761.47,2921.7,42598.08,3503.45,900.97,33410.8,7.9153,11.81,5710.52,0.5503,86268.2,3525.24,1959.58,70564.32,16937.93,625187.93,0.9205,11.42,174.27,28840.75,10408.69,35153.51,3528.21,262.01,3.1356,163.75,5.5929,33.5,381871.52,9882.39,153.09,571.96,296.69,4468.27,39.72,2567.35,109.83,11.17,310590.14,0.792,8.3506,25304.91,2.2437,137466.33,4.5642,81889.89,3807.89,1819385.21,8124.07,156.11,1868259.92,1554.78,7593.23,296444.15,218657.87,10377.01,337879.96,2419.85,2.9781,1233982.74,52.87,1451.48,4324.05,2464.55,1351868.44,33953.32,440.8,0.8775,22.01,193669.36,1343.06,783769.96,18994.66,1101.3,572.24,11.73,7331.08,594.46,43100.17,2950.75,1114750.41,9829.28,151.91,592.09,131.78,413.43,11.44,69.87,2.911
20,Sep,2013,7567.27,10.13,415.71,11.75,36.32,34.78,2937760.79,358772.46,39624.47,5.1829,36032.59,769.63,2913.32,42958.73,3450.24,896.98,33775.53,7.9243,11.83,5740.67,0.5532,85309.13,3584.81,1966.07,70870.87,16989.57,621938.91,0.9207,11.46,172.81,28754.74,10542.03,35420.05,3514.7,256.32,3.1635,164.6,5.519,33.06,385378.25,9812.65,152.74,567.6,298.47,4442.22,39.81,2628.23,110.58,11.14,313438.45,0.7884,8.3155,25558.57,2.1997,137329.66,4.5527,82084.61,3835,1825406.73,8129.32,157.3,1864079.64,1551.43,7629.94,296634.4,216441.12,10294.31,338495.19,2402.2,2.973,1255927.17,51.88,1436.6,4305.7,2462.3,1362773.81,33267.26,438.54,0.8619,22.09,193447.65,1352.89,795271.06,19044.72,1101.63,571.75,11.7,7332.55,587.62,42903.57,2907.74,1111255.13,9909.47,149.85,594.51,130.95,409.51,11.39,69.58,2.9306
21,Sep,2013,7785.72,9.9223,409.71,11.75,35.37,34.42,2963183.17,356883.98,40119.33,5.1374,36322.56,750.55,2861.66,43017.8,3428.59,899.99,32839.98,7.7485,11.44,5712.45,0.5603,91107.29,3523.96,1948.24,69528.54,16899.97,633990.07,0.9084,11.42,172.76,28908.96,10226.85,35640.47,3543.93,249.52,3.0764,162.67,5.4089,33.26,393822.8,9716.48,146.57,562.57,295.65,4474.8,40,2431.86,110.53,11.32,319420.72,0.7867,8.4456,24955.69,2.1969,137797.75,4.4199,80937.63,3757.5,1865678.06,8097.55,150.92,1918205.09,1528.07,7700.31,304590.76,212220.63,10655.41,339395.25,2480.7,2.9063,1237384.14,51.2,1474.87,4414.98,2493.34,1397490.18,32554.43,444.16,0.8745,21.51,197154.19,1329.58,782778.28,19024.21,1122.08,577.57,11.64,7313.63,588.56,42280.09,2867.17,1138194.54,10010.16,156.3,596.03,125.67,411.54,11.36,68.75,2.9279
1,Oct,2013,7647.08,9.9502,410.9,11.81,35.84,34.05,2953021.78,360333.79,40634.71,5.1023,37116.54,769.62,2858.48,42755.07,3461.65,901.09,33442.05,7.7285,11.58,5721.24,0.5664,89713.42,3573.05,1971.09,70462.31,17142.88,633333.22,0.9149,11.31,171.41,29086.45,10277.49,35260.73,3524.15,243.75,3.0957,163.35,5.3676,32.91,394127.84,9942.87,148.67,558.72,295.28,4459.87,39.68,2523.56,109.57,11.09,315919.96,0.7815,8.4382,25327.21,2.2146,137565.33,4.3064,81238.91,3822.85,1878389.49,8106.22,152.77,1893906.52,1552.74,7770.12,310048.86,212048.53,10509.72,339186.56,2443.87,2.8606,1249418.02,50.33,1450.82,4366.54,2492.41,1403194.4,32678.61,441.39,0.8616,21.52,193456.27,1354.46,788731.25,19231.27,1119.94,575.84,11.61,7311.98,592.65,43171.55,2851.69,1138048.08,10114.55,151.03,602.38,127.24,410.59,11.31,68.72,2.9232
2,Oct,2013,7662.14,9.8319,411.2,11.88,35.69,33.51,2996569.78,363559.77,41120.81,5.1624,37196.25,767.41,2908.61,42837.19,3495.08,909.06,33722.18,7.7168,11.53,5758.56,0.568,87758.08,3578.87,1946.41,70731.65,17192.95,637535.28,0.9104,11.33,168.6,29525.4,10402.48,35665.32,3506.66,241.85,3.0912,163.02,5.3527,32.83,395008.06,10067.49,149.23,559.31,294.15,4470.15,40.11,2536.49,107.97,10.94,318889.06,0.7843,8.3369,25583.16,2.2144,137308.87,4.2695,80791.59,3892.64,1903476.88,8128.95,155.4,1899964.41,1553.87,7801.11,309601.37,211473.97,10503.25,341027.8,2440.61,2.8442,1268727.37,49.86,1453.9,4374.3,2460.06,1405307.83,33240.26,435.44,0.8551,21.43,193844.88,1364.69,795388.74,19222.3,1116.5,579.67,11.45,7385.81,596.95,43053.88,2806.52,1139417.32,10222.14,148.83,598.18,128.75,408.54,11.3,68.12,2.9372
3,Oct,2013,7736.33,9.7201,406.67,11.91,36.06,33.14,3003993.28,367083.41,40991.35,5.0891,36875.63,770.61,2917.13,43550.26,3512.74,907.58,33666.25,7.644,11.41,5716.87,0.5681,89868.62,3544.03,1955.57,70424.35,17088.03,641141.24,0.9087,11.21,168.31,29317.88,10394.5,35719.54,3490.46,242.03,3.0616,161.31,5.2883,32.52,401560.44,10052.8,146.46,563.23,292.29,4449.15,40.08,2527.58,106.76,10.84,325169.1,0.7743,8.2823,25781.12,2.1962,139549.28,4.3275,81255.64,3873.23,1926614.12,8156.03,153.16,1940752.24,1560.02,7841.17,311073.83,211830.83,10593.95,346466.18,2457.19,2.8591,1267821.82,49.29,1458.25,4376.15,2441.47,1406732.51,33403.11,429.24,0.8418,21.23,195444.44,1364.72,798973.22,19512.87,1120.44,572.7,11.5,7428.38,596.83,43289.67,2808.62,1152017.35,10281.78,148.71,599.76,127.2,408.05,11.24,68.03,2.9457
4,Oct,2013,7763.51,9.6609,406.81,11.77,35.8,32.43,3016590.29,366017.31,41025.85,5.0728,36715.22,753.4,2915.83,44008.15,3530.46,921.49,33422.69,7.4804,11.26,5744.5,0.5539,91328.23,3518.31,1974.59,71150.64,16904.87,645303.04,0.8953,10.96,167.91,29217.68,10313.79,35802.06,3519.7,243.47,3.0066,158.67,5.2695,32.66,402484.13,10104.93,144.14,562.79,289.89,4522.37,40.06,2487.29,107.71,10.88,328755.92,0.7747,8.2739,25981.31,2.1831,141630.39,4.3177,82388.82,3824.32,1941374.59,8140.78,151.18,1987965.02,1551.78,7900.41,313746.6,213292.7,10862.62,351159.29,2483.04,2.8345,1270342.89,49.32,1480.09,4433.05,2426.66,1412023.24,33772.78,425.44,0.85,20.89,196418.45,1359.13,795460.48,19493.82,1121.81,573.05,11.46,7501.55,596.72,43109.7,2825.68,1160544.89,10317.63,149.42,598.87,124.17,410.43,11.11,67.32,2.9388
5,Oct,2013,7843.73,9.5371,407.81,11.68,35.57,32.28,3036863.85,365887.05,41608.83,5.1226,37023.52,760.49,2934.11,44150.03,3530.16,921.61,33434.69,7.5012,11.15,5788.91,0.551,92938.62,3496.25,1980.15,71018.08,17058.97,648434.71,0.8935,10.93,167.15,29305.65,10195.88,35714.16,3497.19,241.29,3.0154,156.98,5.213,32.62,401884.57,10253.03,142.09,566.94,288.38,4478.68,40.3,2440.55,106.82,10.83,328065.29,0.7765,8.1984,26573.16,2.1769,141653.38,4.3012,82267.86,3851.97,1938135.06,8206.65,150.93,2009387.43,1569.22,7895.33,312638.33,213360.45,10833.76,350032.01,2475.01,2.8087,1277393.47,48.85,1478.4,4452.77,2409.36,1414045.37,34343.37,425.35,0.8493,20.76,197844.28,1366.87,803142.23,19493.32,1121.19,571.99,11.35,7539.7,597.04,43076.48,2847.92,1173000.36,10331.38,149.77,595.95,123.62,409.48,10.99,66.67,2.9353
6,Oct,2013,7756.89,9.4408,409.63,11.77,35.63,31.86,3033450.89,375055.49,41964.66,5.0982,38270.98,765.74,2957.67,43931.69,3569.55,910.69,33937.22,7.5956,11.13,5787.19,0.5551,91803.47,3520.86,2002.72,71959.48,17176.14,650441.32,0.9009,10.97,168.44,29681.4,10168.76,34857.15,3475.98,240.12,3.0549,157.01,5.244,32.41,399021.06,10355.45,144.55,561.93,285.57,4526.85,39.89,2490.93,105.65,10.67,328767.41,0.7846,8.1145,26969.06,2.1838,141604.75,4.217,83720.48,3900.47,1940688.32,8234.22,150.86,2016453.97,1575.12,7871.42,309018.12,211600.79,10722.13,355155.08,2454.13,2.7889,1295646.61,49.09,1474.83,4364.05,2379.76,1403852.58,34650.7,420.72,0.8308,20.31,197141.06,1401.44,820210.12,19753.03,1109.9,573.77,11.36,7652.86,597.62,43589.45,2832.68,1173028.47,10436.8,144.68,591.11,127.35,405.75,10.94,67.01,2.9196
7,Oct,2013,7731.87,9.3784,406.36,11.66,35.64,31.79,3024269.37,377591.79,41962.87,5.0219,38296.39,766.44,2966.72,43825.27,3575.01,897.48,34087.72,7.5106,11.05,5769.52,0.5476,93049.76,3543.52,1999.09,72792.22,17147.31,650488.01,0.8949,10.96,170.3,29616.02,10140.82,35206.16,3473.91,240.96,3.0415,156,5.1795,32.09,404721.55,10282.55,143.72,554.63,283.64,4565.53,39.75,2510.33,105.76,10.63,332163.38,0.7839,8.1277,26719.95,2.1926,143768.95,4.2014,84341.16,3911.44,1956295.52,8197.36,150.03,2031596.78,1575.47,7835.21,313696.27,212708.33,10754.38,359643.29,2444.6,2.7619,1304203.91,48.91,1487.72,4389.16,2386.74,1410106.32,35080,418,0.824,20.01,198278.45,1417.11,817621.21,19805.34,1115.53,571.23,11.2,7665.14,601.58,43556.28,2829.6,1177670.36,10432.81,144.96,595.24,127.52,403.44,10.96,66.93,2.9066
8,Oct,2013,7904.35,9.3762,406.29,11.45,35.08,31.74,3034138.8,380678.97,42025.97,4.8824,38359.09,762.37,3014.84,43776.62,3559.94,901.3,33671.47,7.4169,10.79,5777.99,0.537,97686.39,3497.36,1985.91,72508.65,17231.7,661371.57,0.8902,10.8,171,29696.29,9993.62,35701.47,3511.97,242.06,2.9564,154.59,5.075,31.95,406555.57,10193.21,141.13,551.83,281.36,4573.47,39.41,2400.92,105.8,10.65,335869.22,0.7733,8.1276,26376.53,2.1831,144855.89,4.2213,84056.43,3877.04,1979748.56,8197.82,145.51,2073136.83,1573.66,7838.76,313922.59,214833.28,11088.84,358372.88,2476.74,2.7386,1289912.82,48.62,1509.1,4452.08,2383.6,1428695.49,35838.12,422.37,0.824,19.54,200038.14,1418.98,803084.47,20135.87,1117.74,570.2,10.99,7694.52,606.86,42700.71,2817.73,1196435.03,10544.69,149.24,595.6,124.92,404.08,10.95,66.89,2.8912
9,Oct,2013,8053.96,9.1862,401.33,11.21,34.79,31.71,3080296.63,379107.38,42382.35,4.8083,37907.06,749.82,3040.97,44190.33,3565.99,908.1,33328.44,7.2182,10.61,5768.96,0.5203,103104.03,3477.65,1971.33,72460.02,17294.95,669254.07,0.89,10.69,173.06,29524.86,9885.44,36322.09,3536.45,244.77,2.8718,152.17,5.0163,31.84,404616.79,10200.91,138.44,550.14,281.97,4588.91,39.78,2289.5,105.15,10.69,342640.51,0.7612,8.133,25897.6,2.1678,146159.62,4.2172,82220.34,3836.42,1997163.1,8153.36,141.57,2120807.21,1581.47,7934.97,317953.66,218838.67,11397.72,360095.93,2488.8,2.7406,1276540.47,48.26,1524.08,4510.52,2409.44,1455286.31,36139.33,427.5,0.8333,19.3,203769.01,1397.08,792454.25,20180.38,1114.05,571.64,11,7682.2,598.23,42144.88,2823.91,1219154.41,10529.98,152.2,592.95,123.85,406.09,10.78,65.71,2.8339
10,Oct,2013,8069.05,9.2167,399.42,11.23,34.74,31.71,3092067.92,378930.94,42278.79,4.789,38190.78,753.72,3061.25,44094.22,3550.59,914.02,33543,7.1576,10.65,5768.68,0.5166,103173.6,3473.13,1955.04,73403.01,17365.45,665982.85,0.8808,10.69,169.92,29710.45,10085.53,36468.49,3542.7,245.52,2.8202,151.58,5.0054,31.66,404144.77,10293.13,137.78,557.92,283.04,4623.72,39.47,2302.13,104.3,10.54,351152.94,0.7664,8.0498,25961.78,2.1484,146864.21,4.2047,82319.02,3876.89,2006104.23,8207.84,142.12,2130557.89,1580.92,7965.68,319410.89,219960.24,11491.91,365330.23,2493.18,2.7174,1271948.08,47.97,1515.6,4462.32,2425.86,1460794.72,36437.91,429.93,0.8347,19.12,204140.53,1402.41,793923.66,20170.07,1100.97,565.8,11.01,7727.33,596.23,42176.63,2831.87,1220824.46,10483.13,151.38,595.87,123.8,404.06,10.77,64.92,2.7896
